Authority,Authority ID
מזכרת בתיה,500200282
מזרעה,500205174
מטה אשר,500224043
מטה בנימין,500274733
מטה יהודה,500210265
מטולה,500200431
מיתר,500212683
מנשה,500232145
מסעדה,500242037
מעיליא,500205182
מעלה אדומים,500236161
מעלה אפרים,500236088
מעלה יוסף,500262522
מעלה עירון,500213277
מעלות-תרשיחא,500210638
מצפה רמון,500200993
מרום הגליל,500221023
מרחבים,500262423
משגב,500224563
משהד,500205208
נהריה,500291000
נווה מדבר,500262688
נוף הגליל (נצרת עילית לשעבר),500210612
נחל שורק,500244314
נחף,500205224
נס ציונה,500272000
נצרת,500273008
נשר,500225008
נתיבות,500202460
נתניה,500274006
סאגור,500205257
סביון,500205877
סחנין,500275003
עגר,500245014
עומר,500206669
עילבון,500205307
עילוט,500205117
עין מאהל,500205323
עין קיניה,500245022
עכו,500276001
עמנואל,500236609
עמק הירדן,500222062
עמק המעיינות,500223078
עמק חפר,500241161
עמק יזרעאל,500223094
עמק לוד,500243407
עספיא,500205349
עפולה,500277009
עראבה,500205315
ערבות הירדן,500275755
ערד,500225602
ערערה,500206370
ערערה בנגב,500211925
פוריידיס,500205372
פסוטה,500205356
פקיעין (בוקייעה),500205364
פרדס חנה-כרכור,500278007
פרדסיה,500201710
פתח תקווה,500279005
צור הדסה,500211131
צורן-קדימה,500201959
צפת,500280003
קדומים,500235577
קלנסווה,500206388
קצרין,500241005
קרית אונו,500226204
קרית ארבע,500236112
קרית אתא,500268008
קרית ביאליק,500295001
קרית גת,500226303
קרית טבעון,500223003
קרית ים,500296009
קרית יערים,500211370
קרית מוצקין,500282009
קרית מלאכי,500210349
קרית עקרון,500204698
קרית שמונה,500228002
קרני שומרון,500236401
ראמה,500205430
ראש העין,500226402
ראש פינה,500200266
ראשון לציון,500283007
רהט,500211610
רחובות,500284005
ריינה,500205422
רכסים,500209226
רמלה,500285002
רמת גן,500286000
רמת השרון,500226501
רמת חובב,500280011
רמת ישי,500201223
רמת נגב,500262480
רעננה,500287008
שבלי-אום אל גנם,500209135
שגב שלום,500212865
שדות נגב,500262399
שדרות,500210315
שהם,500213046
שומרון,500273727
שלומי,500208129
שעב,500205380
שער הנגב,500261375
שפיר,500261342
שפרעם,500288006
תל אביב-יפו,500250006
תל מונד,500201546
תל שבע,500210547
תמר,500262514
